Date,Category,Payment_mode,Description,Amount,Cashback
2024-08-21,Stationary,Debit Card,Worry board serve above media.,118.85,0.63
2024-08-28,Groceries,Debit Card,Nice full floor feeling.,224.39,0.0
2024-08-07,Food,Credit Card,Raise pressure direction.,25.97,0.34
2024-08-29,Bills,Cash,Article shoulder put entire.,729.01,0.42
2024-08-08,Entertainment,UPI,Put check threat training customer change.,99.11,0.75
2024-08-02,Bills,Credit Card,Science charge born thing Mr letter responsibility occur.,854.37,0.78
2024-08-27,Stationary,Debit Card,Office suddenly red themselves.,686.8,0.0
2024-08-24,Stationary,Cash,Break beautiful worker company plan.,975.51,0.09
2024-08-05,Investment,Debit Card,Art glass likely trouble six natural.,516.59,0.73
2024-08-09,Entertainment,Cash,Instead on resource wife.,610.13,0.35
2024-08-23,Investment,Credit Card,Smile war treat third affect hundred.,550.94,0.6
2024-08-01,Healthcare,UPI,Rise question action very guess himself.,139.87,0.0
2024-08-15,Bills,Debit Card,Military say listen seven name market us.,239.19,0.0
2024-08-30,Stationary,Debit Card,Talk various show ability someone power me.,975.61,0.0
2024-08-15,Groceries,UPI,Go law address support including by form.,15.78,0.29
2024-08-04,Stationary,Cash,Spend right center beyond.,661.79,0.0
2024-08-09,Healthcare,Cash,Down everyone general never.,50.31,0.0
2024-08-17,Bills,Cash,Might to difference trade.,478.01,0.0
2024-08-05,Bills,Credit Card,Early such performance we every risk believe former.,843.72,0.02
2024-08-09,Stationary,Debit Card,Friend fall weight ground pass common.,971.4,0.0
2024-08-24,Food,Cash,Bar risk senior argue quality hear night.,635.11,0.55
2024-08-16,Entertainment,UPI,Camera walk call seat scientist.,607.68,0.0
2024-08-08,Food,UPI,We beat shoulder film security style.,293.92,0.68
2024-08-21,Entertainment,UPI,Leave wall part above.,841.82,0.0
2024-08-21,Entertainment,Debit Card,Listen structure game low others much.,247.96,0.12
2024-08-08,Food,UPI,Born stay individual wish artist pass ever.,521.39,0.43
2024-08-11,Entertainment,Cash,Consider nothing certain choice hundred stuff letter.,912.28,0.19
2024-08-03,Subscription,Credit Card,Test father guy care.,895.92,0.17
2024-08-20,Bills,Cash,Plan past various husband evening event.,24.85,0.07
2024-08-23,Healthcare,Credit Card,Two lay believe start whom.,114.84,0.53
2024-08-06,Entertainment,Cash,Resource forget peace fear.,590.85,0.92
2024-08-18,Bills,UPI,Black be buy could field evidence about.,159.59,0.0
2024-08-05,Groceries,UPI,That because money expect good best war.,11.96,0.0
2024-08-23,Entertainment,Credit Card,Upon management strategy compare.,866.06,0.64
2024-08-10,Healthcare,Cash,Sometimes will although company claim.,24.06,0.97
2024-08-07,Stationary,Credit Card,Short with soon program choice try.,432.81,0.09
2024-08-26,Healthcare,UPI,Parent memory drug source program.,227.73,0.87
2024-08-05,Food,Debit Card,Foot low office go dark evening.,922.09,0.36
2024-08-18,Groceries,Credit Card,Total face model likely.,428.0,0.63
2024-08-24,Healthcare,UPI,Picture realize particular suggest early tree choice.,57.27,0.22
2024-08-24,Bills,Cash,Force where never fish month child.,895.45,0.0
2024-08-05,Groceries,UPI,Drive director wear else think.,611.8,0.99
2024-08-29,Bills,Cash,Operation law require north even picture space.,43.49,0.81
2024-08-19,Subscription,Credit Card,View price audience develop society white seek add.,496.54,0.58
