Date,Category,Payment_mode,Description,Amount,Cashback
2024-12-05,Healthcare,Cash,Leg say international close simply.,542.8,0.51
2024-12-22,Investment,Credit Card,Development pattern party light long ability crime.,580.9,0.0
2024-12-13,Investment,Cash,Stock bank over light.,123.43,0.41
2024-12-11,Investment,UPI,Bill often decide be hour.,887.99,0.65
2024-12-15,Healthcare,Cash,Center enjoy far not night.,689.14,0.73
2024-12-02,Entertainment,Credit Card,Writer around writer word impact eye about.,680.11,0.0
2024-12-24,Groceries,UPI,Hard officer lawyer too first people.,861.86,0.0
2024-12-04,Food,UPI,Discussion television sea include.,760.81,0.96
2024-12-15,Groceries,Cash,View point sometimes leg.,242.57,0.0
2024-12-21,Entertainment,UPI,Scientist process number local reveal beyond.,514.37,0.5
2024-12-15,Travel,Credit Card,Movement hit around carry detail share Mrs.,843.3,0.29
2024-12-21,Entertainment,Debit Card,Civil if cause blood meeting whose here.,402.65,0.0
2024-12-14,Healthcare,Debit Card,Enter campaign she right.,593.67,0.66
2024-12-03,Travel,Debit Card,Myself why safe owner operation.,22.95,0.92
2024-12-24,Subscription,Cash,Clear between way modern purpose lawyer.,482.61,0.53
2024-12-08,Healthcare,Debit Card,Sport little science if bad such.,681.04,0.27
2024-12-04,Bills,Credit Card,Center animal whether where protect product whose.,830.97,0.09
2024-12-21,Travel,Cash,Rest well herself do understand significant nature painting.,258.35,0.29
2024-12-03,Groceries,Debit Card,Far movie design cause wall matter media final.,139.61,0.0
2024-12-10,Travel,Cash,Us trip consider example.,702.22,0.91
2024-12-26,Food,UPI,Yes take best back.,872.58,0.59
2024-12-30,Investment,Cash,Drug hair future yeah senior gun Mrs.,929.16,0.83
2024-12-17,Bills,UPI,Three strategy mother other natural test fly.,260.29,0.23
2024-12-16,Healthcare,UPI,Hope vote protect machine group crime field.,790.13,0.0
2024-12-23,Food,Credit Card,Movement wife important simple option risk despite night.,956.56,0.0
2024-12-27,Travel,Cash,High energy authority beat generation unit popular.,199.92,0.08
2024-12-05,Entertainment,Cash,City street wrong could trip foreign hotel.,940.4,0.98
2024-12-08,Bills,Cash,Decade star market everybody between.,609.77,0.0
2024-12-24,Travel,Debit Card,Assume particularly according key suffer number military.,289.38,0.93
2024-12-20,Subscription,Cash,Foot stage democratic yard control.,820.02,0.0
2024-12-22,Groceries,Cash,Fly remember health foreign.,524.5,0.76
2024-12-11,Groceries,UPI,Machine choose about.,658.79,0.82
2024-12-28,Travel,Credit Card,Late media dream wish bed.,447.93,0.27
2024-12-30,Groceries,UPI,Star attention almost approach reach own prevent seven.,738.21,0.27
2024-12-27,Stationary,Debit Card,Somebody morning child start stock finally other program.,347.5,0.0
2024-12-17,Subscription,Debit Card,Power impact woman decision box view personal tax.,134.26,0.72
2024-12-08,Healthcare,UPI,Get bill authority skill fall.,964.99,0.69
2024-12-21,Food,Credit Card,Bank under both attack blood.,893.88,0.29
2024-12-15,Subscription,Cash,Enjoy door general professor.,846.74,0.0
2024-12-04,Entertainment,UPI,Of mean including fact significant follow.,503.06,0.0
2024-12-12,Healthcare,Cash,Shoulder support including market specific.,510.98,0.0
2024-12-06,Entertainment,Cash,Center world ever which other.,915.48,0.0
2024-12-03,Food,Debit Card,Body program these opportunity way eat.,252.95,0.0
2024-12-23,Stationary,Cash,Ready enjoy let.,117.53,0.89
2024-12-23,Travel,Credit Card,Himself center image pick.,588.43,0.0
2024-12-16,Investment,Credit Card,Marriage style benefit suggest will.,370.76,0.74
2024-12-27,Entertainment,Cash,Brother real purpose.,158.9,0.03
2024-12-21,Subscription,Credit Card,Pretty public media could senior join lawyer.,928.57,0.99
2024-12-10,Bills,Debit Card,Personal successful Mr call picture one.,559.44,0.81
2024-12-23,Investment,Cash,Green foreign cultural answer crime maintain.,35.65,0.0
2024-12-01,Groceries,Cash,Data have draw between community community.,593.29,0.22
2024-12-02,Investment,Cash,Mr something return meet determine ever teacher themselves.,219.41,0.01
2024-12-10,Food,Credit Card,Blue member enough billion space.,207.47,0.0
2024-12-24,Bills,Credit Card,History attention threat race human.,359.79,0.0
2024-12-01,Bills,UPI,Popular chance world believe manager type.,986.33,0.0
2024-12-23,Bills,Credit Card,Group minute hair production third clear we.,13.56,0.12
2024-12-14,Bills,Debit Card,Year everyone last style social.,921.6,0.86
2024-12-04,Subscription,Cash,Behavior assume smile guy.,134.27,0.0
2024-12-09,Bills,Credit Card,Nature country along describe at commercial.,315.91,0.74
2024-12-16,Subscription,Credit Card,Machine marriage free when development finally environment.,668.32,0.0
2024-12-28,Groceries,Credit Card,Tv stop us usually tell.,895.25,0.85
2024-12-02,Investment,Cash,May employee finish me past.,372.45,0.84
2024-12-22,Entertainment,Debit Card,Report opportunity hard when beautiful order.,390.23,0.59
2024-12-25,Entertainment,Credit Card,Manager expect without unit significant perform beautiful huge.,195.15,0.0
2024-12-15,Entertainment,Cash,Them save notice house order arm oil clearly.,266.98,0.0
2024-12-11,Food,Debit Card,Firm write better.,936.75,0.66
2024-12-21,Investment,Debit Card,Material before gas other partner student beautiful.,513.7,0.97
2024-12-10,Investment,Cash,Side measure charge station case.,959.76,0.56
2024-12-24,Travel,Cash,Loss during ok begin law so though happy.,742.03,0.0
2024-12-15,Food,Cash,Will public authority yes stage.,827.19,0.32
2024-12-27,Healthcare,Debit Card,Father really order.,843.34,0.0
2024-12-22,Stationary,Cash,Too list his Mr.,239.11,0.0
2024-12-28,Subscription,Credit Card,Very player a reduce quality although push subject.,861.16,0.36
2024-12-22,Entertainment,UPI,Fill recent media according find drop so.,541.03,0.05
2024-12-25,Travel,Debit Card,Decade field short marriage history degree response.,583.45,0.58
2024-12-29,Investment,Debit Card,Data that place idea.,485.94,0.46
2024-12-14,Food,Credit Card,Account move so Mrs another hotel.,688.87,0.87
2024-12-16,Food,Cash,Theory suddenly bring any.,915.27,0.44
2024-12-05,Food,Debit Card,Senior lead per if society.,931.61,0.0
2024-12-28,Food,UPI,Only set community manager always song.,962.89,0.29
2024-12-05,Investment,Cash,Just official care success manager good.,193.57,0.84
2024-12-27,Food,UPI,Floor who require along.,95.72,0.8
2024-12-04,Bills,Credit Card,War wind individual walk.,259.52,0.19
2024-12-08,Healthcare,Credit Card,Hour both over this else yeah.,931.38,0.0
2024-12-26,Bills,UPI,Easy those campaign raise.,918.49,0.79
2024-12-08,Entertainment,UPI,Look bag some want without talk manage.,123.03,0.79
2024-12-04,Healthcare,Debit Card,Their experience up your sing.,516.67,0.0
2024-12-06,Bills,Cash,Determine four wrong minute.,209.6,0.0
2024-12-17,Food,UPI,Citizen water sort surface civil.,993.65,0.15
2024-12-28,Investment,Debit Card,Above leg pass him.,99.63,0.0
2024-12-06,Travel,Credit Card,Team staff perform among family.,731.66,0.61
2024-12-17,Subscription,Cash,Why make fill owner site.,387.14,0.0
2024-12-09,Subscription,Debit Card,Nothing drop least data.,735.99,0.99
2024-12-19,Subscription,Credit Card,President statement garden professional far upon sure.,76.59,0.78
2024-12-03,Groceries,UPI,High well maintain.,372.77,0.22
2024-12-11,Healthcare,Debit Card,Up stuff far peace by drug top receive.,674.16,0.89
2024-12-27,Entertainment,Debit Card,After whatever night pressure character owner.,750.53,0.4
2024-12-01,Stationary,Cash,Term music attorney media arm spring.,939.05,0.0
2024-12-16,Travel,Credit Card,Financial control imagine customer speech end.,543.53,0.19
2024-12-13,Subscription,UPI,Seem area stock take coach.,919.48,0.74
2024-12-23,Travel,Credit Card,Within mission attention.,934.65,0.54
2024-12-10,Subscription,Credit Card,Against serve condition point great manager.,579.2,0.64
2024-12-07,Subscription,Debit Card,Generation may region audience partner however whose.,474.63,0.0
2024-12-13,Food,Cash,Small clear nation buy act land hot.,582.66,0.72
2024-12-06,Subscription,UPI,This movement organization today.,18.69,0.35
2024-12-29,Bills,Debit Card,Deal edge represent on think discover.,971.99,0.0
2024-12-08,Bills,Cash,Look often direction.,952.2,0.63
2024-12-12,Healthcare,Debit Card,Plant partner center question.,299.16,0.0
2024-12-26,Food,Debit Card,Establish how have campaign key picture.,154.61,0.02
2024-12-11,Travel,Credit Card,Decade lose budget challenge among.,115.34,0.0
2024-12-22,Groceries,Cash,Significant learn wide direction.,485.84,0.0
2024-12-06,Travel,Cash,Of kind better partner.,61.41,0.19
2024-12-15,Travel,Credit Card,Democratic spend enjoy majority manage memory ago.,777.97,0.19
2024-12-16,Food,Cash,Research best interesting democratic without.,191.68,0.56
2024-12-04,Entertainment,Credit Card,Money chair carry yet peace sing section west.,155.96,0.93
2024-12-12,Groceries,Credit Card,Seek sure gun able natural leave able.,227.53,0.63
2024-12-06,Travel,Credit Card,Amount reality community court hope require.,50.8,0.41
2024-12-15,Food,Debit Card,Education prepare traditional our.,967.51,0.1
2024-12-09,Entertainment,Cash,Bad image PM ever special.,760.67,0.0
2024-12-09,Stationary,UPI,Fly number deep hold make key.,448.86,0.11
2024-12-11,Subscription,Debit Card,Near game various base.,457.72,0.64
2024-12-11,Food,Debit Card,Learn season tell person nothing.,786.63,0.0
2024-12-13,Bills,Debit Card,Range half mouth.,886.96,0.79
2024-12-23,Travel,Credit Card,Collection head worker election not interview.,504.88,0.79
2024-12-02,Bills,Cash,Game push increase stage clear sure myself.,250.91,0.0
2024-12-16,Groceries,UPI,Near beautiful animal debate piece sport radio fish.,44.56,0.42
2024-12-13,Groceries,UPI,Pick hour while born serious.,270.14,0.28
2024-12-16,Subscription,UPI,Series option after might happen mouth media quite.,597.75,0.0
2024-12-16,Travel,UPI,Be record black husband.,597.42,0.86
2024-12-07,Subscription,Cash,Act major ability tree property ready fear.,505.88,0.77
2024-12-24,Investment,Debit Card,For any over thank thank dream child.,587.21,0.99
2024-12-30,Subscription,UPI,Professional serve PM morning develop game training.,941.14,0.67
2024-12-09,Stationary,Debit Card,Her herself later.,391.12,0.14
2024-12-18,Bills,Cash,Best picture space medical six.,319.95,0.24
2024-12-18,Food,UPI,Environmental traditional like short three.,354.29,0.37
2024-12-15,Healthcare,Debit Card,Year during such again kind western.,169.32,0.39
2024-12-16,Investment,UPI,Mean run so anything help claim agent executive.,287.55,0.43
2024-12-23,Subscription,Credit Card,Something color money before grow letter.,108.39,0.37
2024-12-07,Investment,UPI,Direction red main past four knowledge product important.,678.74,0.52
2024-12-05,Stationary,Cash,Level who energy feeling surface artist short.,66.26,0.44
2024-12-06,Subscription,Credit Card,Discuss action arm save matter administration seven letter.,668.03,0.74
2024-12-08,Healthcare,Cash,Ground matter idea than family sell lot.,674.43,0.0
2024-12-25,Bills,UPI,Husband source hour I.,775.66,0.93
2024-12-01,Bills,Credit Card,Property wide on back three.,286.55,0.23
2024-12-07,Groceries,UPI,Can the look structure lose matter offer.,619.01,0.53
2024-12-09,Subscription,Debit Card,Life everyone rock road head.,234.64,0.0
2024-12-24,Stationary,Cash,Modern affect return decade reach spring prevent television.,40.27,0.42
2024-12-19,Healthcare,Debit Card,Policy federal suggest ago.,764.44,0.46
2024-12-09,Investment,Cash,Director decision hospital issue body suggest audience near.,453.88,0.57
2024-12-15,Investment,Cash,Late interview behind save hand continue game.,874.46,0.39
