Date,Category,Payment_mode,Description,Amount,Cashback
2024-02-21,Bills,UPI,Available add source throughout language us.,481.32,0.35
2024-02-15,Subscription,Credit Card,People power thing Democrat decade along.,155.4,0.6
2024-02-05,Bills,Debit Card,Business we civil option early fly.,863.8,0.62
2024-02-26,Bills,Debit Card,Need old structure case turn age significant.,14.14,0.75
2024-02-24,Subscription,UPI,Far from although traditional Congress last billion too.,909.14,0.0
2024-02-28,Investment,UPI,Move toward thousand.,368.06,0.92
2024-02-16,Travel,UPI,Cost they half.,63.62,0.25
2024-02-10,Groceries,Debit Card,Knowledge pay simply discussion check low win pick.,888.7,0.41
2024-02-17,Travel,Debit Card,Full challenge radio Congress blue.,75.2,0.0
2024-02-21,Travel,UPI,Picture professor century drive end modern.,213.33,0.14
2024-02-10,Groceries,Credit Card,Thought audience health their military brother unit industry.,983.97,0.59
2024-02-04,Investment,Debit Card,Chair cell Democrat technology participant official population itself.,533.78,0.02
2024-02-15,Subscription,Credit Card,A two whose day.,826.39,0.96
2024-02-14,Entertainment,Credit Card,Local red project production hard past.,106.87,0.1
2024-02-02,Food,Cash,Trouble space analysis despite night book too.,115.13,0.3
2024-02-21,Bills,Debit Card,Beautiful amount reality game character PM have.,50.8,0.83
2024-02-11,Healthcare,Cash,Provide pass care ten area toward.,547.7,0.27
2024-02-02,Entertainment,Debit Card,Majority news garden measure member democratic.,236.46,0.03
2024-02-19,Healthcare,Debit Card,Camera car institution three job.,128.29,0.71
2024-02-03,Healthcare,UPI,Truth beat clearly direction sell.,579.34,0.03
2024-02-20,Groceries,Cash,Everyone road stuff race meeting create chair but.,89.77,0.98
2024-02-14,Food,Debit Card,Unit hard push next coach line theory activity.,702.66,0.38
2024-02-01,Subscription,Debit Card,Every crime thousand him.,228.5,0.35
2024-02-13,Subscription,Cash,Would couple movement big nor another.,330.2,0.7
2024-02-13,Food,Credit Card,Boy discover who white long southern.,89.02,0.26
2024-02-07,Healthcare,Credit Card,Collection very no mention whose raise.,366.85,0.76
2024-02-25,Food,UPI,Partner movement thousand fear only name project.,173.71,0.46
2024-02-24,Healthcare,Debit Card,Information act win than.,190.85,0.1
2024-02-16,Groceries,Cash,Beyond page seek suffer country ball interesting too.,316.46,0.81
2024-02-04,Groceries,Cash,Goal kind ok simple understand citizen draw consumer.,731.15,0.83
2024-02-15,Groceries,UPI,Heart after mother crime.,924.54,0.56
2024-02-27,Food,Debit Card,Themselves table try let financial size want.,952.59,0.21
2024-02-27,Bills,Cash,Meeting poor training difficult similar find.,261.73,0.0
2024-02-05,Groceries,Cash,Natural by summer upon conference where.,386.82,0.47
2024-02-23,Groceries,Credit Card,Recognize total less local about whole.,739.79,0.81
2024-02-07,Subscription,UPI,Material product entire I yet.,900.48,0.52
2024-02-01,Investment,UPI,Enjoy give father toward much executive bag meet.,856.84,0.69
2024-02-22,Bills,Debit Card,General central generation six.,511.38,0.05
2024-02-20,Stationary,Cash,Begin last decision station list main project share.,722.65,0.74
2024-02-06,Food,Cash,Glass apply garden more including song perform money.,395.01,0.79
2024-02-10,Bills,Credit Card,Reflect say degree eat wide.,583.73,0.06
2024-02-25,Entertainment,Credit Card,Movie thousand avoid institution.,987.65,0.77
2024-02-25,Bills,UPI,Even small four out lot money.,106.69,0.29
2024-02-26,Subscription,Debit Card,Perform election receive learn red.,23.6,0.54
2024-02-15,Groceries,Debit Card,Look successful artist network bring speak eat.,211.78,0.45
2024-02-15,Investment,UPI,Property response play particularly environment trial play.,591.67,0.29
2024-02-20,Travel,Credit Card,Successful able even room among.,513.8,0.17
2024-02-10,Food,Debit Card,As herself than east may claim paper.,32.61,0.94
2024-02-04,Travel,Debit Card,Hospital want brother cold fine state.,477.4,0.13
2024-02-09,Groceries,Credit Card,Population produce PM too upon also focus paper.,624.93,0.0
2024-02-23,Investment,Credit Card,Continue strategy rest whom wonder.,134.56,0.0
2024-02-15,Bills,Cash,Computer fall me again oil move.,266.1,0.0
2024-02-07,Groceries,Cash,Yourself next dog attorney.,924.48,0.8
2024-02-04,Bills,Credit Card,Add pattern very site message term road.,92.31,0.34
2024-02-10,Groceries,Debit Card,Language name must too.,856.55,0.1
2024-02-17,Food,Credit Card,Site raise doctor staff at.,897.22,0.97
2024-02-10,Bills,Credit Card,Mouth soon machine relate market sit foot.,609.84,0.37
2024-02-22,Bills,Debit Card,Stand place ago agreement side very same.,518.99,0.54
2024-02-17,Food,UPI,Group left painting ever.,654.77,0.88
2024-02-10,Food,Credit Card,Develop stop use view series.,685.27,0.38
2024-02-23,Entertainment,Debit Card,Year direction responsibility.,427.26,0.96
2024-02-26,Groceries,Cash,Purpose inside fine floor man born.,836.09,0.78
2024-02-08,Investment,UPI,Time sometimes add figure house.,324.7,0.96
2024-02-07,Investment,Debit Card,Trouble want deep keep remain.,344.47,0.63
2024-02-04,Subscription,Cash,Information never road worker picture different least.,310.4,0.76
2024-02-19,Subscription,Debit Card,Particularly page pull man focus.,330.07,0.0
2024-02-28,Investment,UPI,Hold young picture probably population.,29.7,0.0
2024-02-10,Food,Debit Card,Assume left region fine structure Congress window.,242.31,0.0
2024-02-24,Investment,Cash,Particular since why will administration.,107.43,0.97
2024-02-20,Investment,Cash,Compare air dark time.,838.5,0.0
2024-02-28,Stationary,Debit Card,Team interesting back charge structure though force.,58.41,0.0
2024-02-17,Stationary,UPI,Year control five some appear but hospital.,204.25,0.69
2024-02-01,Entertainment,UPI,Quickly cup everything beautiful institution accept.,102.52,0.31
2024-02-25,Groceries,Debit Card,Stock blue voice teach yeah strategy economy.,687.05,0.51
2024-02-11,Groceries,Debit Card,Accept either describe agreement likely mouth.,124.86,0.0
2024-02-18,Investment,Credit Card,Ready everybody probably deep research after.,257.73,0.17
2024-02-12,Entertainment,Debit Card,Night tough health knowledge.,716.09,0.0
2024-02-02,Bills,Cash,Himself network remain amount.,79.18,0.31
2024-02-15,Travel,UPI,Professor finally population southern board will scene.,470.65,0.62
2024-02-21,Healthcare,Credit Card,Reality at nation window his series car.,994.19,0.54
2024-02-26,Subscription,UPI,Interview city chair indicate who better medical recently.,489.89,0.93
2024-02-22,Travel,Debit Card,Think can three field the.,977.59,0.79
2024-02-21,Food,Cash,Boy out quite car baby great husband number.,559.13,0.68
2024-02-02,Healthcare,Credit Card,Threat five school sea opportunity specific smile party.,219.52,0.0
2024-02-17,Stationary,UPI,Tv be size serious side others bar.,105.63,0.0
2024-02-12,Entertainment,UPI,Treat value general peace act.,487.63,0.98
2024-02-05,Entertainment,Credit Card,Since phone card.,153.08,0.0
2024-02-24,Travel,Cash,Scientist choose throw dark cover.,780.76,0.06
2024-02-01,Bills,Cash,Property ago speak item truth seem.,917.7,0.19
2024-02-21,Investment,UPI,Although near reality any it.,839.03,0.0
2024-02-05,Healthcare,Debit Card,Loss position dark.,553.5,0.38
2024-02-10,Healthcare,Debit Card,Star each trial scene politics relate.,805.79,0.44
2024-02-22,Food,Credit Card,Detail plant anything check together event.,844.85,0.0
2024-02-24,Investment,UPI,Develop produce own resource seat control appear manage.,237.25,0.51
2024-02-21,Groceries,Debit Card,Weight eat position firm me major for.,749.03,0.42
2024-02-12,Subscription,Debit Card,Doctor dinner campaign much road recent.,249.57,0.02
2024-02-24,Stationary,Credit Card,Number catch hard natural worry born.,650.81,0.64
2024-02-20,Food,UPI,Difficult after foreign race church notice cup.,489.89,0.4
