Date,Category,Payment_mode,Description,Amount,Cashback
2024-07-27,Travel,Credit Card,Want push toward.,715.69,0.54
2024-07-04,Entertainment,Credit Card,Treat require both figure focus.,555.24,0.0
2024-07-20,Subscription,UPI,Trip seat information heart.,698.17,0.89
2024-07-23,Healthcare,Credit Card,Really ahead whole type woman describe detail.,592.57,0.09
2024-07-06,Healthcare,Debit Card,Someone brother even line husband.,824.92,0.84
2024-07-13,Stationary,Cash,Son box rather thus pay pretty oil.,463.23,0.86
2024-07-05,Entertainment,Cash,Professional way science among.,323.66,0.55
2024-07-23,Investment,Credit Card,Person score admit arrive.,643.25,0.98
2024-07-05,Food,Cash,Animal want friend whether.,980.59,0.0
2024-07-04,Subscription,Debit Card,Everything think night imagine see moment.,710.36,0.45
2024-07-17,Travel,UPI,Head dog able former quality action little.,994.93,0.97
2024-07-11,Entertainment,UPI,Let action her administration small sound town experience.,475.32,0.0
2024-07-06,Stationary,Credit Card,Analysis great seem late.,414.52,0.34
2024-07-27,Bills,Cash,Nice politics couple style ask they remember.,457.17,0.33
2024-07-18,Travel,Debit Card,Behavior thing data able fill camera employee.,13.44,0.71
2024-07-30,Investment,Debit Card,Understand student again late capital buy pick.,540.62,0.07
2024-07-04,Investment,UPI,Successful American force time hundred world sign consumer.,887.04,0.26
2024-07-30,Investment,UPI,Product food each third summer along early.,76.93,0.28
2024-07-02,Entertainment,Cash,Feel tend property responsibility over fact.,261.0,0.0
2024-07-27,Subscription,Debit Card,Voice seem fast go news scene.,687.74,0.61
2024-07-22,Stationary,Debit Card,Protect share let own space.,395.27,0.0
2024-07-19,Travel,UPI,Six human company arrive create.,488.72,0.08
2024-07-01,Healthcare,Cash,Price time son attack statement ability focus.,758.4,0.63
2024-07-06,Healthcare,Debit Card,Space outside research team dream simple fund.,559.59,0.35
2024-07-12,Stationary,Debit Card,Yard work reach.,858.66,0.49
2024-07-06,Healthcare,UPI,Employee bag two tax rate minute.,14.19,0.64
2024-07-02,Travel,UPI,Help generation many recently team.,850.73,0.4
2024-07-15,Bills,UPI,Ten summer far glass few four.,876.9,0.66
2024-07-14,Food,Cash,Nothing today entire his bar none.,293.29,0.0
2024-07-13,Entertainment,Cash,Although eight computer make watch development.,635.97,0.56
2024-07-21,Bills,Debit Card,Ability itself garden great.,235.25,0.0
2024-07-02,Groceries,UPI,Woman throughout clearly color address.,112.75,0.0
2024-07-22,Subscription,Cash,Me seven early top network least.,703.39,0.0
2024-07-22,Entertainment,Cash,Big whether price night training although back.,708.61,0.86
2024-07-09,Food,Debit Card,Century arm stand general boy the.,37.05,0.0
2024-07-06,Investment,Cash,Newspaper activity thank along need claim.,516.5,0.95
2024-07-21,Bills,Cash,Range free score maybe administration open upon.,156.74,0.71
2024-07-19,Entertainment,Debit Card,Build reveal paper difficult impact attorney.,538.17,0.95
2024-07-10,Travel,Cash,In chair evidence member.,468.21,0.01
2024-07-08,Entertainment,Debit Card,Event speak person wear eight daughter site.,348.42,0.0
2024-07-17,Subscription,UPI,Quite a heavy think.,841.21,0.0
2024-07-04,Entertainment,Cash,Week become network bill rest.,823.91,0.13
2024-07-02,Entertainment,Credit Card,Course attack pretty prevent.,43.47,0.55
2024-07-02,Bills,UPI,Course commercial tell control.,138.85,0.25
2024-07-26,Groceries,UPI,Form response herself she right pick about.,53.2,0.52
2024-07-09,Subscription,UPI,Both tax possible campaign now office change minute.,502.74,0.25
2024-07-03,Bills,Cash,Today fire speech head remain the blue.,788.47,0.89
2024-07-29,Healthcare,Cash,Think sing mission four pick soldier say.,225.34,0.9
2024-07-01,Healthcare,Debit Card,Travel good phone enjoy future.,790.84,0.08
2024-07-16,Food,UPI,Not thing movie wear anything whom just.,426.02,0.48
2024-07-24,Healthcare,Credit Card,Only then citizen nor wall because.,191.53,0.0
2024-07-13,Stationary,Debit Card,Laugh up among strategy.,374.67,0.6
2024-07-15,Food,Debit Card,Agree day industry structure amount bank science.,323.71,0.25
2024-07-04,Healthcare,UPI,Long eye forget should choose may fall out.,74.85,0.2
2024-07-04,Groceries,Cash,Year interview money of eye push themselves.,819.32,0.0
2024-07-26,Stationary,Debit Card,Democratic past happy standard politics professional.,239.56,0.0
2024-07-10,Bills,Credit Card,Push stop manage citizen sea suddenly quickly help.,105.83,0.95
2024-07-27,Investment,Debit Card,Career light base need enjoy no.,474.27,0.0
2024-07-05,Food,Cash,Trial image glass grow.,728.68,0.1
