Date,Category,Payment_mode,Description,Amount,Cashback
2024-06-12,Food,Credit Card,Discussion piece college defense magazine.,692.49,0.44
2024-06-12,Groceries,UPI,Investment really night employee.,682.66,0.0
2024-06-03,Healthcare,Cash,Thank special member view budget anyone.,652.16,0.51
2024-06-29,Bills,Cash,Air really with.,705.57,0.06
2024-06-29,Food,Credit Card,Agent teach range much.,348.87,0.9
2024-06-18,Stationary,UPI,Food while condition.,333.53,0.48
2024-06-11,Food,Cash,How truth available.,533.01,0.82
2024-06-09,Healthcare,UPI,Young next crime husband before student board.,69.45,0.15
2024-06-26,Food,Debit Card,Weight far step outside one.,215.03,0.01
2024-06-18,Investment,Cash,Industry old leader debate however remain sister.,127.23,0.08
2024-06-27,Investment,Cash,May TV when could participant.,947.54,0.33
2024-06-23,Healthcare,Cash,Interest while country music someone.,701.2,0.23
2024-06-22,Travel,Debit Card,Improve theory right speak follow.,487.2,0.0
2024-06-16,Food,Debit Card,Skill list two relate movement concern.,631.31,0.61
2024-06-07,Travel,Cash,Probably bar hope same surface cost draw.,885.43,0.0
2024-06-20,Investment,UPI,Focus after positive ahead.,66.94,0.59
2024-06-03,Subscription,Debit Card,Pattern general worry various still wrong Republican decade.,414.43,0.63
2024-06-18,Stationary,UPI,Myself something hear.,552.48,0.77
2024-06-03,Travel,Credit Card,For wrong research air morning report.,380.58,0.69
2024-06-26,Subscription,Debit Card,Economy will those their last civil off large.,849.93,0.97
2024-06-01,Subscription,Credit Card,Consider someone share store development her.,186.06,0.0
2024-06-24,Bills,Debit Card,Authority employee really these defense rock type.,989.41,0.0
2024-06-13,Stationary,Debit Card,Grow you music author.,102.65,0.47
2024-06-23,Travel,Credit Card,Race which gas good carry news.,881.85,0.0
2024-06-01,Entertainment,Debit Card,American church team indeed member require order.,796.42,0.0
2024-06-04,Groceries,UPI,Couple call so.,706.55,0.01
2024-06-01,Bills,UPI,Stuff war like feeling national over economy begin.,448.41,0.18
2024-06-24,Groceries,Debit Card,Line will away measure.,774.49,0.0
2024-06-14,Entertainment,UPI,Century want her establish become themselves technology.,764.41,0.27
2024-06-07,Subscription,UPI,Until office say stand fact one major.,721.28,0.67
2024-06-15,Stationary,Cash,High position specific information me animal owner.,114.84,0.0
2024-06-01,Bills,Cash,Blue discussion management.,25.2,0.13
2024-06-10,Groceries,Credit Card,Model family thought activity son part friend win.,438.78,0.0
2024-06-06,Bills,Cash,Control office little too.,366.51,0.06
2024-06-17,Healthcare,Credit Card,Possible others yeah us place involve.,185.91,0.0
2024-06-02,Subscription,Cash,Receive along project consider.,905.69,0.13
2024-06-15,Groceries,UPI,Pull Congress animal marriage.,429.09,0.06
2024-06-13,Healthcare,Cash,Foot play daughter sit rise compare remember.,299.02,0.95
2024-06-04,Stationary,Debit Card,Quality write baby writer.,617.88,0.31
2024-06-17,Subscription,Credit Card,Parent ready effort crime role city its.,92.97,0.22
2024-06-01,Entertainment,Cash,Whatever election TV important dinner increase effort.,669.38,0.36
2024-06-18,Groceries,Cash,Book so performance environment.,97.7,0.18
2024-06-18,Travel,UPI,Foreign thing he enough now pay.,585.14,0.01
2024-06-25,Groceries,Credit Card,Clearly suddenly bit myself.,46.91,0.01
2024-06-04,Food,Debit Card,Best plant base for which next.,695.44,0.08
2024-06-27,Healthcare,Credit Card,Open bank big seat.,823.71,0.0
2024-06-29,Groceries,Credit Card,Charge community bit suddenly marriage.,833.45,0.35
2024-06-17,Subscription,Credit Card,Whole indicate which democratic my sing yet.,247.27,0.14
2024-06-16,Food,Credit Card,Call floor home star.,619.42,0.53
2024-06-01,Healthcare,Cash,Benefit effort ready car.,886.89,0.65
2024-06-28,Bills,Credit Card,Red yourself produce change.,788.43,0.0
2024-06-17,Subscription,UPI,Another whom during behind garden.,37.37,0.59
2024-06-16,Investment,UPI,Particularly everybody between general author want.,863.92,0.02
2024-06-22,Healthcare,UPI,Example with hard many responsibility.,463.74,0.57
2024-06-06,Bills,UPI,Community relate gun course.,121.63,0.98
2024-06-19,Healthcare,Credit Card,Serve help laugh walk direction college out condition.,960.99,0.0
2024-06-15,Groceries,Credit Card,Language require southern sit medical.,300.86,0.0
2024-06-02,Subscription,Cash,Public heart serious account vote option.,740.82,0.0
2024-06-10,Stationary,Credit Card,Floor ahead down ever sea him.,721.03,0.45
2024-06-02,Food,Debit Card,Much effort fall sister draw especially professor bit.,124.21,0.0
2024-06-20,Subscription,Cash,Shake citizen box phone owner a red.,119.21,0.74
2024-06-03,Groceries,Debit Card,Tonight other find degree.,437.66,0.43
2024-06-23,Stationary,Cash,Owner generation approach trip suggest top.,635.61,0.0
2024-06-17,Groceries,Cash,Throw like real rock walk yourself should.,345.82,0.29
2024-06-19,Subscription,Debit Card,Cell he walk single us tree practice.,630.9,0.0
2024-06-25,Travel,Cash,Because likely book many ever.,878.63,0.31
