Date,Category,Payment_mode,Description,Amount,Cashback
2024-03-20,Travel,Cash,Writer collection then board their.,622.04,0.62
2024-03-20,Stationary,Credit Card,Effort because follow.,865.89,0.0
2024-03-21,Groceries,Cash,Beat region heavy both determine.,853.62,0.01
2024-03-13,Investment,UPI,Then close cell manager southern operation debate up.,663.35,0.9
2024-03-23,Food,Credit Card,Its plan fish affect character management.,176.94,0.86
2024-03-27,Stationary,Debit Card,Mean similar pressure statement cell when never.,125.27,0.48
2024-03-06,Healthcare,Credit Card,Article base husband listen stop.,502.8,0.16
2024-03-20,Food,Debit Card,Term morning reveal finally strategy organization.,166.78,0.18
2024-03-14,Healthcare,Debit Card,Carry approach see money less season.,778.27,0.0
2024-03-19,Entertainment,UPI,Send social his else moment.,555.97,0.01
2024-03-15,Entertainment,Cash,Protect defense more relationship.,425.55,0.46
2024-03-03,Groceries,Credit Card,Production year certain author relationship.,460.86,0.0
2024-03-13,Food,Debit Card,Hope change present blue attention treat better.,951.4,0.9
2024-03-17,Entertainment,Cash,Science place image goal director.,587.09,0.0
2024-03-14,Subscription,UPI,Yes lose man night approach player clearly.,362.69,0.38
2024-03-16,Investment,Cash,Thousand tax best play join since.,486.91,0.0
2024-03-19,Travel,Debit Card,Instead task next old.,44.06,0.8
2024-03-17,Healthcare,Credit Card,Book raise choice.,432.54,0.3
2024-03-15,Entertainment,Debit Card,Happen develop treatment.,895.68,0.0
2024-03-22,Travel,Debit Card,Road sign determine crime appear window goal.,165.01,0.35
2024-03-09,Investment,Debit Card,Finally company action truth site never personal.,303.99,0.86
2024-03-01,Stationary,Cash,If fear scene herself.,550.94,0.64
2024-03-03,Bills,Credit Card,Responsibility relationship action offer difficult increase.,964.06,0.61
2024-03-26,Entertainment,UPI,Former sure world.,524.78,0.58
2024-03-16,Stationary,Debit Card,Night off together to.,452.9,0.99
2024-03-03,Food,Cash,High step team might activity budget.,399.86,0.35
2024-03-07,Stationary,Credit Card,Include able public character.,274.21,0.66
2024-03-24,Stationary,UPI,Again player mother second form book film.,705.58,0.46
2024-03-30,Subscription,Debit Card,Gun form gas for remain your.,267.76,0.15
2024-03-10,Subscription,Credit Card,Impact second nearly set four natural.,852.34,0.65
2024-03-12,Stationary,Cash,Foreign field strategy catch.,767.87,0.0
2024-03-23,Healthcare,Credit Card,Trial by theory beat.,594.37,0.0
2024-03-19,Travel,Debit Card,Really have race bit one.,50.64,0.43
2024-03-14,Healthcare,UPI,Enjoy hear pass early.,727.66,0.0
2024-03-18,Groceries,Credit Card,Write attention in not method ability.,280.86,0.13
2024-03-01,Stationary,Cash,Girl describe onto until let necessary effort study.,272.04,0.53
2024-03-21,Investment,Credit Card,Class brother put trip model serious provide.,941.61,0.0
2024-03-17,Stationary,UPI,Last cup imagine attention politics beautiful.,699.12,0.4
2024-03-18,Groceries,Credit Card,Face religious forget stage event other.,812.39,0.0
2024-03-28,Healthcare,Cash,Newspaper leg recent character deep.,448.38,0.0
2024-03-17,Entertainment,Credit Card,Particular president effect.,73.11,0.45
