Date,Category,Payment_mode,Description,Amount,Cashback
2024-05-17,Travel,UPI,Case believe free call father offer.,843.87,0.41
2024-05-17,Entertainment,UPI,Name positive box set some seek.,200.73,0.29
2024-05-08,Healthcare,UPI,Mind focus suddenly argue point care.,385.87,0.2
2024-05-19,Stationary,Credit Card,Relationship mission yes thousand between risk.,22.66,0.96
2024-05-04,Entertainment,Debit Card,Health put company poor.,489.56,0.8
2024-05-01,Healthcare,Cash,Much shoulder manager loss perform according trouble hour.,876.32,0.0
2024-05-26,Healthcare,Cash,Exist something couple important theory your official.,342.23,0.0
2024-05-19,Entertainment,Credit Card,Executive leader color impact site serve.,565.06,0.35
2024-05-08,Stationary,Credit Card,Hour professor soldier off.,374.37,0.17
2024-05-25,Groceries,Cash,Evidence hard government suddenly traditional.,82.77,0.51
2024-05-21,Food,Cash,Politics pull at road charge during old.,36.28,0.0
2024-05-17,Food,Cash,Challenge including child sport must.,273.08,0.23
2024-05-26,Groceries,Cash,Modern this phone town.,585.9,0.99
2024-05-22,Subscription,Credit Card,Treatment know college.,774.91,0.45
2024-05-16,Stationary,UPI,Trouble majority national support position need.,511.76,0.38
2024-05-28,Travel,Cash,Them bed soldier should table again.,375.1,0.0
2024-05-07,Travel,UPI,Glass this employee window.,878.93,0.02
2024-05-04,Travel,UPI,Join exist military fine.,544.06,0.91
2024-05-01,Stationary,Debit Card,Discuss evidence however section.,727.19,0.0
2024-05-27,Investment,Credit Card,Four mind crime represent school.,901.24,0.59
2024-05-02,Bills,Debit Card,Condition along yet bad their move.,986.27,0.72
2024-05-15,Food,UPI,Center eye can.,590.36,0.72
2024-05-03,Groceries,Cash,Whether away friend.,158.69,0.0
2024-05-16,Subscription,UPI,Figure listen impact be keep guess only.,952.5,0.58
2024-05-23,Subscription,Cash,Court hear hand able.,937.55,0.26
2024-05-13,Healthcare,Credit Card,Return watch expert mind lay guess never.,253.67,0.0
2024-05-09,Bills,Credit Card,Serve where through strong reach.,236.86,0.88
2024-05-24,Subscription,Cash,Free hour painting full.,953.18,0.0
2024-05-13,Entertainment,Cash,Memory public make.,645.58,0.0
2024-05-28,Travel,Debit Card,Smile my military suffer.,931.5,0.98
2024-05-06,Food,Debit Card,With kitchen find member.,161.81,0.0
2024-05-13,Bills,Debit Card,Space great laugh close five fish concern.,130.09,0.8
2024-05-19,Stationary,Credit Card,Argue century whatever student.,761.7,0.0
2024-05-20,Subscription,UPI,Bring phone and.,509.5,0.78
2024-05-24,Healthcare,Cash,Congress much five measure.,224.19,0.0
2024-05-17,Food,Cash,Section already system coach.,583.21,0.72
2024-05-29,Healthcare,UPI,Hundred soldier dog woman sell goal.,188.88,0.49
