Date,Category,Payment_mode,Description,Amount,Cashback
2024-11-13,Travel,Debit Card,Now watch free significant artist like teach.,139.89,0.51
2024-11-12,Entertainment,Debit Card,Share take you.,316.02,0.73
2024-11-08,Food,Credit Card,Drop which reality minute say physical.,822.36,0.09
2024-11-12,Healthcare,UPI,Put woman support person.,219.62,0.0
2024-11-10,Groceries,Cash,Growth painting speak under free.,401.26,0.68
2024-11-17,Travel,UPI,Baby road many yard.,720.68,0.0
2024-11-23,Food,UPI,Its yard must level wrong very better.,540.08,0.0
2024-11-07,Bills,Credit Card,Several what car beautiful action challenge.,768.83,0.61
2024-11-04,Food,UPI,Lay draw power itself ground easy picture.,85.58,0.64
2024-11-17,Food,UPI,Talk mention example would model surface.,355.37,0.86
2024-11-21,Bills,Debit Card,Your building billion than.,63.73,0.13
2024-11-15,Entertainment,Cash,Property suggest draw fill consumer meet region.,111.13,0.23
2024-11-04,Bills,Debit Card,Source add smile among ten TV serve.,933.18,0.96
2024-11-23,Food,UPI,Night leader site board former.,487.18,0.14
2024-11-04,Bills,Cash,Officer pressure one class entire.,115.49,0.0
2024-11-13,Stationary,UPI,Hand suggest price hope face.,602.01,0.33
2024-11-13,Stationary,Credit Card,Maintain body thousand upon small window through suddenly.,585.52,0.56
2024-11-19,Entertainment,Credit Card,Their send bill assume bag performance.,305.61,0.65
2024-11-24,Food,Debit Card,Buy box more offer number become.,472.72,0.1
2024-11-18,Stationary,Credit Card,Movie very field world officer forward.,35.43,0.85
2024-11-02,Entertainment,Cash,Street type relate bank.,480.06,0.29
2024-11-04,Groceries,Cash,Home together relate decade among.,361.71,0.11
2024-11-02,Healthcare,Cash,Position response positive note under.,911.23,0.0
2024-11-13,Groceries,Debit Card,Yard item month student employee able fact issue.,480.67,0.3
2024-11-01,Stationary,Credit Card,Thousand between debate several attention anything war.,349.61,0.89
2024-11-20,Healthcare,Cash,Section summer quite.,865.24,0.76
2024-11-16,Investment,Debit Card,Physical almost week they.,241.62,0.9
2024-11-25,Food,UPI,Worker president police while treatment better difference assume.,242.38,0.0
2024-11-14,Subscription,UPI,Anything husband another manage magazine spring hundred.,969.53,0.0
2024-11-25,Entertainment,Cash,Often as we more wish.,412.74,0.85
2024-11-04,Groceries,UPI,Sister key open question collection heavy.,955.97,0.02
2024-11-29,Subscription,Credit Card,Interest too growth arm rest.,765.86,0.0
2024-11-10,Subscription,UPI,Medical pay bring.,325.53,0.47
2024-11-09,Investment,UPI,Company car weight candidate.,942.93,0.0
2024-11-17,Groceries,UPI,Step current onto statement.,441.25,0.79
2024-11-17,Investment,Debit Card,No trade page woman respond true.,298.76,0.62
