Date,Category,Payment_mode,Description,Amount,Cashback
2024-10-20,Bills,Debit Card,Shoulder should security lot player instead debate response.,490.3,0.0
2024-10-01,Subscription,Credit Card,Wait production however include style yes thank.,936.83,0.46
2024-10-10,Groceries,Credit Card,Body middle health artist scientist current condition.,489.24,0.24
2024-10-21,Healthcare,Debit Card,Cut player continue capital book war.,530.52,0.47
2024-10-05,Investment,UPI,Voice lay option watch those range able price.,199.48,0.0
2024-10-11,Healthcare,Cash,Camera west tend senior run debate.,619.38,0.03
2024-10-17,Healthcare,Cash,Game sister nature stuff about various.,260.54,0.64
2024-10-23,Subscription,Credit Card,Political section fast back science continue sign she.,409.21,0.93
2024-10-21,Food,UPI,Reach ground drive mean skin.,232.48,0.8
2024-10-29,Investment,UPI,Early performance statement whose amount.,547.25,0.46
2024-10-19,Subscription,Debit Card,Yet involve action wind natural.,401.51,0.74
2024-10-16,Subscription,Debit Card,Across easy cause possible.,715.02,0.36
2024-10-05,Investment,UPI,Popular care which scene imagine garden.,614.9,0.0
2024-10-07,Travel,Credit Card,Sport industry fact try mother.,625.63,0.0
2024-10-22,Entertainment,UPI,Fund former establish poor word effect.,526.3,0.0
2024-10-19,Healthcare,Cash,Star modern just.,605.39,0.58
2024-10-09,Investment,Cash,List both about between under.,939.41,0.61
2024-10-05,Groceries,Cash,Break mean standard.,399.6,0.43
2024-10-24,Bills,Debit Card,Case new begin report order lead they.,633.67,0.76
2024-10-15,Travel,Debit Card,Bit project head sense.,578.41,0.0
2024-10-03,Food,Debit Card,Finish evidence determine eat put approach.,691.23,0.05
2024-10-06,Food,Credit Card,Administration third three.,295.11,0.29
2024-10-08,Investment,Credit Card,Beyond tell raise.,996.84,0.0
2024-10-17,Healthcare,Debit Card,Bring increase item speak little politics.,446.84,0.85
2024-10-10,Investment,UPI,Serve commercial against get choice.,449.44,0.0
2024-10-02,Healthcare,Cash,Chair human voice run late full concern.,533.19,0.18
2024-10-30,Food,UPI,Must there else chair want firm.,591.52,0.0
2024-10-02,Healthcare,Cash,Knowledge choose line three.,841.29,0.0
2024-10-15,Subscription,UPI,Sit upon town watch.,510.37,0.04
2024-10-22,Stationary,Debit Card,Power seven eye couple improve.,365.77,0.0
2024-10-08,Healthcare,UPI,Analysis let tree these probably measure set.,163.19,0.0
2024-10-03,Food,Credit Card,Room save require month share.,148.94,0.33
2024-10-10,Bills,UPI,Wife back campaign clearly will in data.,148.35,0.1
2024-10-21,Entertainment,Debit Card,Assume agreement look instead.,724.46,0.5
2024-10-01,Stationary,Debit Card,Development benefit machine just year.,817.95,0.0
2024-10-22,Groceries,Debit Card,Occur staff body onto.,268.64,0.71
2024-10-30,Entertainment,Credit Card,Cost from hair may keep series opportunity.,222.0,0.91
2024-10-19,Food,Credit Card,Happen main stand type eye.,686.22,0.91
2024-10-12,Healthcare,Debit Card,Edge sea wind admit final art treat theory.,75.64,0.82
2024-10-06,Investment,Cash,Face out avoid stay little financial.,520.34,0.51
2024-10-23,Bills,Credit Card,Go concern car friend charge.,904.66,0.37
2024-10-30,Subscription,UPI,Peace history south range Mr.,151.2,0.71
2024-10-13,Stationary,Credit Card,Energy seat from again.,378.85,0.97
2024-10-22,Subscription,Credit Card,Play international real leg.,806.76,0.79
2024-10-24,Stationary,Debit Card,Media wall that.,838.02,0.62
2024-10-04,Healthcare,Cash,Few protect game list born charge old bar.,33.32,0.63
2024-10-07,Food,Credit Card,Which follow record fire travel chance.,229.65,0.0
2024-10-17,Travel,Credit Card,My fish western under change.,440.36,0.73
2024-10-18,Stationary,Debit Card,Us record activity tell.,69.52,0.86
2024-10-28,Food,Debit Card,Learn up must section.,443.74,0.4
2024-10-15,Investment,Debit Card,Check fund environmental point major several young pick.,778.74,0.3
2024-10-27,Food,Credit Card,Share risk always.,712.34,0.16
2024-10-07,Stationary,Debit Card,Pick resource senior end there.,74.0,0.71
2024-10-25,Stationary,UPI,Last all oil reason avoid something forward.,201.69,0.0
2024-10-28,Travel,UPI,Staff color imagine table you.,579.7,0.0
2024-10-27,Stationary,Debit Card,Travel natural season.,997.3,0.98
2024-10-30,Food,UPI,American ability open project company not read.,941.96,0.0
2024-10-19,Groceries,UPI,Minute Congress hospital design business off movie.,822.7,0.52
2024-10-04,Investment,UPI,Future skin after firm man herself.,147.42,0.81
2024-10-15,Entertainment,Debit Card,Piece democratic science who wrong risk including.,300.67,0.0
2024-10-23,Healthcare,Credit Card,Step possible book son very deep.,301.63,0.69
2024-10-08,Food,UPI,North local able response approach tend maybe total.,605.48,0.0
2024-10-06,Food,Credit Card,Daughter democratic wish administration letter father.,476.04,0.64
2024-10-07,Food,Debit Card,Leave billion above fire.,686.77,0.85
2024-10-24,Entertainment,UPI,Record national quite strong that.,974.5,0.73
2024-10-18,Investment,Cash,Citizen statement thing including.,311.03,0.67
2024-10-18,Travel,Cash,Institution which range natural.,906.11,0.0
2024-10-21,Food,Credit Card,Forget glass discussion explain wide.,387.65,0.75
2024-10-27,Stationary,UPI,Between church direction song situation property.,858.57,0.0
2024-10-02,Travel,Cash,System a partner finally clear subject involve.,645.15,0.61
2024-10-19,Food,Debit Card,Far story push understand cup off school item.,632.55,0.0
2024-10-16,Subscription,UPI,Person note clearly.,926.81,0.11
2024-10-14,Food,Debit Card,During win design according majority television my.,880.45,0.0
2024-10-18,Bills,Debit Card,Drop on a film he control note.,686.96,0.32
2024-10-04,Healthcare,Cash,Finish somebody style series.,385.15,0.0
2024-10-24,Investment,Debit Card,Practice rich sort talk statement wish in.,588.87,0.01
2024-10-02,Investment,Cash,Design first however paper popular within.,376.44,0.65
2024-10-05,Groceries,Debit Card,Knowledge second research success much condition.,339.56,0.26
2024-10-16,Investment,Debit Card,Article visit member tend learn.,700.47,0.0
2024-10-25,Groceries,UPI,Me follow everyone glass subject system be.,27.0,0.0
2024-10-05,Entertainment,Credit Card,Cold probably star back necessary yard.,972.66,0.06
2024-10-14,Investment,UPI,Sign thought wrong should boy these.,510.06,0.58
2024-10-28,Stationary,UPI,House all game sing hundred rock.,836.25,0.0
2024-10-17,Groceries,Cash,Practice than through end six.,615.83,0.77
2024-10-24,Stationary,Cash,Move eat anyone article yes give.,172.04,0.43
2024-10-17,Entertainment,UPI,Fear cup star away.,10.84,0.0
2024-10-15,Groceries,Credit Card,Rate along idea mission tree my space.,573.02,0.04
2024-10-19,Groceries,Cash,Report wife outside.,870.97,0.0
2024-10-20,Investment,Debit Card,Whose rate drop.,839.14,0.68
2024-10-11,Food,Debit Card,Challenge reduce pass nation.,273.24,0.97
2024-10-09,Travel,UPI,Age painting woman.,707.4,0.0
2024-10-17,Healthcare,Credit Card,Push mind movement society.,807.9,0.0
2024-10-21,Investment,Credit Card,Worry for appear recognize democratic hope difference.,338.35,0.12
2024-10-25,Healthcare,Debit Card,Condition west federal idea painting else.,886.07,0.0
2024-10-28,Food,UPI,Increase manage director two accept.,304.07,0.04
2024-10-02,Subscription,Debit Card,Real behavior follow account moment respond perhaps dream.,248.63,0.72
2024-10-08,Food,Credit Card,Quite black friend inside Mr whether.,995.43,0.28
2024-10-12,Subscription,Cash,Pay card possible himself reach young.,359.82,0.91
2024-10-26,Stationary,UPI,Black win use able.,359.56,0.62
2024-10-04,Bills,Cash,Quality truth theory now behavior set.,31.6,0.0
2024-10-19,Travel,Cash,Author eat fund imagine real.,669.01,0.0
2024-10-05,Groceries,UPI,Pm deep rest blood.,887.75,0.0
2024-10-23,Bills,UPI,Series stage Republican bed activity left.,182.72,0.48
