Date,Category,Payment_mode,Description,Amount,Cashback
2024-09-19,Subscription,Credit Card,Watch quickly act can medical.,950.02,0.69
2024-09-11,Food,UPI,Across capital today late total create.,41.3,0.04
2024-09-23,Stationary,UPI,Politics beyond hotel building through let.,371.67,0.35
2024-09-24,Groceries,Credit Card,Large provide if smile most performance rather.,828.34,0.5
2024-09-19,Food,Debit Card,Even trip across tax man outside nor.,556.45,0.6
2024-09-12,Food,Cash,Lead believe author population expert.,810.71,0.73
2024-09-25,Stationary,UPI,Traditional provide example part research do spend reach.,597.12,0.0
2024-09-16,Bills,Credit Card,Civil information professor tend manager hundred fear.,453.57,0.0
2024-09-15,Travel,Cash,Region fine letter research brother member head.,137.09,0.84
2024-09-09,Bills,UPI,Father pretty budget reality region.,667.4,0.59
2024-09-03,Investment,Cash,Tough word court staff quality single research our.,285.61,0.63
2024-09-24,Travel,Credit Card,Field body election.,872.66,0.62
2024-09-16,Stationary,Credit Card,Stage edge area single town.,288.86,0.62
2024-09-27,Investment,Cash,Cell evidence environment end.,244.77,0.29
2024-09-01,Entertainment,Credit Card,Education price north sometimes land management myself.,539.66,0.86
2024-09-14,Bills,Debit Card,Skin upon leg whom offer general thank.,483.34,0.96
2024-09-06,Subscription,Credit Card,Example court relate per traditional.,916.8,0.13
2024-09-16,Food,Cash,Firm wrong Mrs.,680.2,0.51
2024-09-20,Travel,Cash,Wind full success defense main oil forget.,890.01,0.66
2024-09-01,Bills,Debit Card,Throughout go shake federal keep operation.,138.3,0.56
2024-09-12,Investment,Credit Card,Black student product character become.,397.05,0.54
2024-09-16,Subscription,Cash,Certainly respond leave maybe decision though.,696.8,0.31
2024-09-13,Entertainment,Cash,Program sometimes responsibility.,860.59,0.6
2024-09-06,Entertainment,UPI,Challenge pay wife most seat.,592.2,0.55
2024-09-28,Healthcare,Credit Card,Traditional officer set pick computer member assume.,211.0,0.02
2024-09-21,Groceries,UPI,Any look she sing good not get wrong.,791.02,0.0
2024-09-11,Subscription,Credit Card,Stuff nice physical most enough black but.,761.26,0.75
2024-09-26,Food,Cash,Himself concern hundred according same dinner.,435.31,0.2
2024-09-24,Food,UPI,Institution direction prove moment help nice according TV.,823.11,0.87
2024-09-10,Subscription,Cash,Gas behavior add.,382.84,0.91
2024-09-12,Groceries,UPI,Recognize important including this open left middle.,561.87,0.1
2024-09-12,Travel,UPI,Call ten rate activity.,406.2,0.0
2024-09-01,Travel,Credit Card,Health natural since along.,831.35,0.6
2024-09-23,Entertainment,Debit Card,Course student blue.,803.8,0.0
2024-09-19,Food,UPI,Card only half somebody onto option send.,598.66,0.72
2024-09-28,Food,Cash,Focus stop break just agent upon.,450.33,0.88
2024-09-11,Entertainment,Debit Card,Amount interesting view voice shake beyond.,728.44,0.37
2024-09-24,Bills,Debit Card,Pressure main campaign her city.,39.38,0.72
2024-09-16,Food,Debit Card,Group service policy use where price instead model.,374.91,0.44
2024-09-16,Healthcare,Debit Card,From scientist again investment compare.,847.79,0.0
2024-09-03,Entertainment,Credit Card,Tv road building tend baby little dog.,260.04,0.35
2024-09-01,Investment,UPI,Line inside tonight.,754.51,0.7
2024-09-29,Bills,Credit Card,Really chance over customer leg factor.,915.64,0.84
2024-09-29,Investment,Debit Card,Table discussion similar provide.,796.69,0.49
2024-09-21,Food,Debit Card,Within put if room guy billion.,564.53,0.0
2024-09-02,Bills,UPI,Computer light realize up political source in.,31.38,0.6
2024-09-07,Entertainment,Credit Card,Pressure difficult room produce laugh new.,794.05,0.38
2024-09-11,Investment,Credit Card,Table safe law reason write note.,940.55,0.76
2024-09-11,Food,Credit Card,Feeling total yeah doctor ability effort.,935.71,0.13
2024-09-09,Travel,Debit Card,Occur dinner throw strategy.,856.8,0.7
2024-09-03,Investment,Credit Card,Action site finish success would.,535.61,0.31
2024-09-19,Food,Credit Card,Note ten actually close memory class window especially.,109.31,0.61
2024-09-16,Healthcare,Debit Card,Man professional way myself before glass no poor.,887.39,0.32
2024-09-18,Investment,Debit Card,Hair western hot agreement.,583.99,0.44
2024-09-19,Stationary,Debit Card,Include hour crime ready.,52.78,0.23
2024-09-23,Healthcare,UPI,This summer fact.,562.71,0.28
2024-09-10,Healthcare,UPI,Yourself with certain above fire.,94.57,0.77
2024-09-26,Investment,Credit Card,Affect poor their from.,739.32,0.33
2024-09-23,Groceries,Cash,Sound pull money.,10.44,0.8
2024-09-29,Stationary,Credit Card,Benefit determine maintain.,805.44,0.0
2024-09-12,Healthcare,Credit Card,Go bar about sing a dog.,812.57,0.87
2024-09-17,Food,Cash,Tonight probably room like security.,809.11,0.0
2024-09-19,Investment,Credit Card,Which pick artist thought.,586.22,0.0
2024-09-16,Stationary,Debit Card,Family tax than admit.,965.91,0.61
2024-09-25,Investment,Debit Card,Affect role whose investment professor manager central.,197.77,0.0
2024-09-02,Stationary,UPI,Perform activity happy its.,994.84,0.14
2024-09-06,Stationary,Debit Card,Entire still office resource.,321.02,0.43
2024-09-19,Healthcare,UPI,Other parent artist line factor however.,503.82,0.0
2024-09-10,Healthcare,Debit Card,Way environmental they tend girl land ahead.,498.22,0.52
2024-09-16,Travel,Credit Card,Discover southern clearly.,193.49,0.0
2024-09-16,Stationary,Debit Card,This various take ask.,263.71,0.0
2024-09-16,Food,Credit Card,Town believe heavy apply again American.,961.18,0.63
2024-09-18,Groceries,Credit Card,She stock whether us article.,748.66,0.0
2024-09-03,Healthcare,UPI,Foot quality then.,816.34,0.71
2024-09-26,Entertainment,Debit Card,Whether quality by enjoy.,597.1,0.54
2024-09-10,Food,Debit Card,Window measure change stock break point.,153.21,0.88
2024-09-06,Stationary,Debit Card,Tv space responsibility management thing.,831.94,0.0
