Date,Category,Payment_mode,Description,Amount,Cashback
2024-04-20,Investment,UPI,Republican technology future everyone discuss know blue around.,123.78,0.54
2024-04-10,Subscription,Debit Card,Network wrong task live factor.,736.95,0.0
2024-04-18,Subscription,Cash,Sort we modern main country her doctor.,907.5,0.0
2024-04-24,Investment,UPI,Crime event always produce skill drop.,843.55,0.8
2024-04-01,Groceries,UPI,Ball key hold green blood accept.,22.1,0.0
2024-04-18,Groceries,Cash,Until include doctor detail.,318.51,0.0
2024-04-16,Groceries,Debit Card,Teacher difficult recently anyone.,469.1,0.14
2024-04-18,Stationary,Credit Card,Reason clear address play.,797.83,0.65
2024-04-23,Subscription,Credit Card,Truth part edge science smile happen.,180.55,0.99
2024-04-19,Food,UPI,Pass research morning power world leave since.,956.11,0.85
2024-04-07,Investment,UPI,Human worker fact say finish size.,168.58,0.0
2024-04-19,Healthcare,Cash,Behavior leave meeting could live rather expert.,154.06,0.3
2024-04-04,Groceries,Debit Card,Drive career send home office.,20.78,0.16
2024-04-28,Bills,Credit Card,Site onto ahead wide PM word but.,313.41,0.0
2024-04-09,Investment,UPI,Either easy enjoy reason.,140.27,0.0
2024-04-06,Stationary,Cash,Certain indeed summer life.,678.76,0.72
2024-04-28,Groceries,UPI,Its method hear pretty.,715.09,0.32
2024-04-16,Investment,Credit Card,Rather north music first.,311.13,0.49
2024-04-09,Entertainment,Cash,Quickly they then PM approach stuff.,78.58,0.31
2024-04-18,Food,Cash,Outside find not instead stop property significant.,107.25,0.25
2024-04-11,Subscription,Cash,Wait official who party general.,614.05,0.64
2024-04-01,Food,UPI,You good edge place suggest different.,558.42,0.02
2024-04-20,Food,UPI,Man this know.,353.24,0.87
2024-04-12,Healthcare,Cash,Ten according up use modern.,827.18,0.1
2024-04-01,Food,Credit Card,Customer manage notice fill family central skin.,882.04,0.26
2024-04-02,Food,Cash,Choice how American voice western.,764.59,0.44
2024-04-01,Food,Debit Card,Cup simple wife human standard language.,138.36,0.65
2024-04-03,Travel,Cash,Little likely myself.,859.34,0.0
2024-04-11,Stationary,UPI,Claim lawyer direction question gun.,192.54,0.96
2024-04-13,Subscription,Cash,Several green across product agreement wind hospital station.,873.03,0.23
2024-04-10,Entertainment,Credit Card,Big professional water finish in.,560.53,0.13
2024-04-17,Entertainment,UPI,Sea our bed book enjoy join big.,306.31,0.0
2024-04-20,Travel,Debit Card,Film good team different evening back.,434.56,0.52
2024-04-06,Stationary,Cash,Government never reveal.,796.51,0.0
2024-04-19,Food,Credit Card,Tough however season especially language point.,59.26,0.0
2024-04-28,Stationary,Debit Card,Support future case enter election benefit travel.,753.54,0.74
2024-04-29,Subscription,UPI,Create body require help operation.,804.44,0.2
2024-04-25,Healthcare,UPI,Miss home point animal.,739.27,0.08
2024-04-10,Bills,Cash,Position care box technology nothing.,724.16,0.38
2024-04-10,Bills,Credit Card,Everyone country life your table night.,573.3,0.98
2024-04-17,Food,Credit Card,Scene party stay sure.,888.06,0.25
2024-04-07,Investment,Cash,Attention believe candidate particularly middle throughout.,658.88,0.88
2024-04-10,Groceries,Cash,Available treat six city fine entire.,772.53,0.04
2024-04-07,Subscription,Credit Card,Role wear American throughout.,303.44,0.0
2024-04-02,Stationary,Debit Card,Town already leg strong first effect.,97.62,0.87
2024-04-25,Stationary,Cash,Son car authority seem happy go community actually.,364.1,0.92
2024-04-27,Bills,UPI,Risk region too.,369.57,0.84
2024-04-13,Food,Credit Card,Green chance area including you resource.,28.79,0.0
2024-04-13,Travel,Credit Card,A up provide suggest.,700.54,0.55
2024-04-10,Healthcare,Credit Card,Inside let traditional choice market action these address.,904.83,0.0
2024-04-05,Investment,UPI,Understand data yourself quite.,610.96,0.57
2024-04-18,Investment,Cash,Fine instead now laugh consider important determine.,972.82,0.48
2024-04-03,Travel,Debit Card,New improve religious read type.,500.93,0.0
2024-04-07,Entertainment,Cash,Mean letter ball measure director return purpose.,301.24,0.0
2024-04-14,Investment,Debit Card,Soldier feeling deal must.,451.31,0.89
2024-04-10,Stationary,Credit Card,Idea bit occur project thank produce heavy.,233.72,0.44
2024-04-28,Groceries,Credit Card,Wife successful rate nature.,959.61,0.3
2024-04-07,Food,Credit Card,Pass rock notice third stock imagine forget.,871.77,0.83
2024-04-25,Food,Cash,Concern network relationship simple activity.,397.58,0.99
